CASEID,HELPFUL,FAIR,TRUST,YEAR,AGE,SEX,RACE,HISPANIC,EDUC,DEGREE,MARITAL
  249,1,2,2,1972,43,2,1, 0,12,1,1
  250,1,2,3,1972,61,2,1, 0,12,1,5
  251,2,1,1,1972,70,1,1, 0,12,1,1
  252,2,2,1,1972,48,2,1, 0,11,0,4
  253,1,2,2,1972,34,2,1, 0,12,1,1
  254,2,2,2,1972,19,1,1, 0,12,1,5
  255,1,2,3,1972,52,2,1, 0, 8,0,1
  256,2,1,1,1972,30,1,1, 0,14,1,1
  257,1,2,1,1972,60,1,1, 0,12,1,1
  258,2,1,1,1972,50,1,1, 0,16,3,1
  259,1,2,1,1972,47,2,1, 0,14,1,2
  260,1,2,1,1972,50,2,1, 0, 5,0,1
  261,2,1,2,1972,68,2,1, 0, 5,0,1
  262,2,1,2,1972,50,1,1, 0,12,1,3
  263,2,1,2,1972,21,1,1, 0,10,0,4
  264,1,2,2,1972,72,2,1, 0, 3,0,1
  265,2,1,2,1972,52,1,1, 0,12,1,1
  266,2,1,2,1972,32,2,1, 0,12,1,1
  267,9,1,2,1972,52,1,1, 0,12,1,1
  268,1,2,1,1972,60,2,1, 0,12,1,5
  269,2,3,2,1972,32,1,2, 0,12,0,1
  270,2,2,1,1972,60,2,1, 0, 9,0,2
  271,2,1,2,1972,80,2,1, 0, 7,0,2
  272,2,1,2,1972,58,1,2, 0, 8,0,1
  273,1,1,2,1972,36,2,2, 0,12,1,1
  274,1,2,2,1972,31,2,2, 0,12,1,1
  275,2,2,2,1972,30,1,2, 0,16,3,1
  276,1,1,2,1972,63,1,1, 0,16,1,1
  277,2,1,2,1972,34,1,2, 0,13,1,1
  278,2,2,2,1972,29,2,1, 0,12,1,1
  279,1,1,1,1972,36,2,1, 0, 5,0,1
  280,3,1,2,1972,39,2,1, 0,12,1,1
  281,2,2,1,1972,73,1,1, 0, 8,0,1
  282,1,3,1,1972,38,1,1, 0,10,0,1
  283,2,1,2,1972,55,1,1, 0,13,1,1
  284,1,2,1,1972,30,1,1, 0,12,1,1
  285,1,2,1,1972,44,2,1, 0,12,1,1
  286,1,2,1,1972,43,2,1, 0, 8,0,1
  287,3,2,2,1972,38,1,1, 0, 8,0,1
  288,8,2,1,1972,44,2,1, 0,12,1,1
  289,1,2,2,1972,75,2,1, 0, 9,0,2
  290,1,2,2,1972,43,1,1, 0,18,4,1
  291,1,3,2,1972,43,2,1, 0, 9,0,1
  292,2,2,2,1972,27,1,1, 0,12,1,1
  293,3,2,1,1972,58,1,1, 0,10,0,1
  294,8,8,1,1972,45,1,1, 0,12,1,1
  295,1,2,1,1972,31,1,1, 0,12,1,1
  296,1,2,1,1972,23,2,1, 0,12,1,1
  297,1,2,2,1972,69,1,1, 0, 7,0,2
  298,2,2,2,1972,35,2,1, 0, 8,0,4
  299,1,2,2,1972,43,2,1, 0,12,1,2
  300,2,1,2,1972,56,2,1, 0, 7,0,1
  301,1,1,2,1972,36,2,2, 0,11,1,4
  302,8,1,2,1972,47,2,2, 0, 6,0,1
  303,8,1,2,1972,29,1,2, 0,14,1,1
  304,2,2,2,1972,60,1,2, 0,12,1,1
  305,3,3,2,1972,37,2,2, 0,10,0,1
  306,2,1,2,1972,20,1,2, 0,12,1,1
  307,3,1,2,1972,55,2,2, 0, 9,0,1
  308,3,2,1,1972,71,2,2, 0,99,0,2
